,AdaBoost,"uGB+FL, alpha=0.01","uGB+FL, alpha=0.02","uGB+FL, alpha=0.05","uGB+FL, alpha=0.1","uGB+FL, alpha=0.2"
167,0.07913546746833895,0.04920306585494697,0.052464567927034286,0.06035281280603306,0.06868193495940922,0.0709285070198409
170,0.07911217326773777,0.04867605944803315,0.05247085009908951,0.060252518187086705,0.06871163478031475,0.07111891780733892
173,0.07898585661430511,0.0494254155258772,0.05322159969454875,0.06034034268591991,0.06877894750969996,0.07122943843515915
176,0.07872876499670615,0.048748629614838786,0.052991703022403296,0.06108891406164188,0.0686094653711873,0.07129214698355323
179,0.07874107933634429,0.04877342962599195,0.05332227401074094,0.0605674848216637,0.06861490136078129,0.07129109734744715
182,0.07893627612571526,0.048616349964646845,0.0532064206928098,0.060874110548092136,0.06856472005850675,0.07107934352386246
185,0.07891169141592902,0.04832056479826636,0.05307463983335015,0.06144973436984451,0.06867550674052299,0.07114063810171631
188,0.07870588140459114,0.04811944446554854,0.05333670230180305,0.061354323771627854,0.06868272015589266,0.0711389964218866
191,0.0785250014607212,0.04826545177173286,0.0533486724496342,0.061127565384946576,0.06856564936658799,0.0711301350980852
194,0.07866300192086487,0.04826963276620203,0.05354504422569623,0.06144139958879141,0.06882480998607762,0.07110764246679267
197,0.0786291608092501,0.04858641539027555,0.053678818044933484,0.06106418229025525,0.06855425422417437,0.07089360237097654
200,,0.048178776995102764,0.05346228578364674,0.0609155001826969,0.06832742753680625,0.07075475810859884
